,date,text,open_coding
104,Sat Nov 13 16:53:00 +0000 2021,Los Angeles County sheriff says he won't enforce vaccine mandate for his employees https://t.co/vmwprxiRiK,
527,Fri Nov 12 03:06:30 +0000 2021,"Haliburton Vaccination Clinic
Saturday, November 13th, 10:00 - 5:00
Haliburton Highlands Secondary School - Athletic Center
Book appointments and check eligibility here:
https://t.co/mRGHFg8ADC
1st. 2nd and 3rd doses available https://t.co/aWS0Q6WgXX",
175,Sat Nov 13 12:10:08 +0000 2021,"Hat tip to @NYCHealthSystem CHS partners for their work in DOC facilities to protect staff &amp; people in custody from COVID. As of 11.8.21 the citywide % of tests coming back positive was 1.55%. As of 11.8.21, @CorrectionNYC average was 0.00%. https://t.co/OvuxIdkC2P",
582,Fri Nov 12 01:34:14 +0000 2021,"Mobile Covid Vaccination Clinic in West Torrens

WHERE:

Bunnings, 108 Railway Tce, Mile End

WHEN

Tuesday 16 to Saturday 20, 8.00 am to 5.00 pm https://t.co/kId1HWlRAM",
851,Thu Nov 11 16:03:34 +0000 2021,"⚠️Delhi Health bulletin 11th Nov 

Total cases -40
Deaths - 00
Positivity- 0.8%
Recovery-61
#COVID19AB #COVID 
#CoronaVirusUpdates #coronavirus 
#Delhi #Corona #vaccinate    #Corona                                                
#COVID19 @DEEPAK_0616 https://t.co/EtQxLhKOqw",
557,Fri Nov 12 13:39:45 +0000 2021,"Johnson County Classic Starts tomorrow!

We have 4 good programs going at it starting at 3:00 when @HCCscotties take on @SWCCBasketball followed by your @JCCC_CavsMBB against
@IowaLakesMBB at 7:00.

#CavsBasketball #GoCavs ⚔️⚔️⚔️ https://t.co/9euxmxQX9G",
483,Fri Nov 12 12:53:44 +0000 2021,"Come and join us in @BetsiCadwaladr to learn about the great service transformation work they have undertaken during COVID
Starts at 13.00
 #ViHWales2021",
96,Sat Nov 13 17:05:44 +0000 2021,"Is the COVID vaccine losing its effectiveness in Ontario?
The case rate for fully vaxed has almost doubled over the last 2.5 months.
Ontario case rate/100,00 for that day for fully vaccinated individuals:
   24 Aug 1.19
   13 Nov 2.03
https://t.co/f80hU8f2Mx",
656,Fri Nov 12 10:19:38 +0000 2021,"Thusong Centre, Tafelsig: Saturday and Sunday, 09:00 – 15:00
Brackenfell Library: Saturday and Sunday, 08:00 – 15:00
Bloekombos Clinic – mobile vaccination van, Saturday and Sunday, 08:00 – 13:00
Wallacedene Clinic – mobile vaccination van, Saturday and Sunday, 08:00 – 13:00",
9,Sat Nov 13 23:17:53 +0000 2021,"""Understanding Long Covid:
""Understanding Long Covid: the Unseen Public Health Crisis""isis""

Friday November 19
2:00 pm ET, 17:00 GMT, 18:00 CET.

@fi_lowenstein moderates, panel includes @ahandvanish @WesElyMD @kavitapmd and others.

registration:
https://t.co/aOBCAXbvCe https://t.co/N90LxQTpp5",
784,Thu Nov 11 19:35:20 +0000 2021,"Interested in the latest #COVID19 findings? Come hear @NSF &amp; @NIH researchers discuss their work on the #coronavirus in our next #COVID Info Commons webinar!
Join us Monday at 12:00 pm ET: https://t.co/jLeIXC6Wu4
@Flo4Princeton @FDHint @ANLeggettPhD @LandrumAR @TTU_CoMC @KQED ... https://t.co/pP1MPNAtP5",
67,Sat Nov 13 19:09:25 +0000 2021,Sis lost her job after Covid left her with memory issues. I'm her dependent as a lung cancer survivor (Never Smoked) and now we live on only $200.00 she gets from G.A. My SSDI pays rent which is a blessing🙏 https://t.co/fl2GqaGk1n,
988,Thu Nov 11 08:15:16 +0000 2021,New COVID-19 Data at 2021-11-10 08:00:00 pm EST #Coronavirus #COVID19 #COVID_19 https://t.co/N5jrgWKSut,
583,Fri Nov 12 09:51:18 +0000 2021,"Mobile vaccine clinic tomorrow from 10:00 a.m. to 3:00 p.m. Spread the word, and get vaccinated to protect yourself + others! https://t.co/CUnPHIuuRp",
378,Fri Nov 12 17:31:08 +0000 2021,"@RobDemovsky Marshawn Lynch was fined $75,000 for not talking to reporters after NFC title game.
Aaron Rodgers fined $14,650.00 for breaking Covid protocol.
I guess we know the NFL priorities.",
751,Thu Nov 11 22:00:21 +0000 2021,New COVID-19 Data at 2021-11-11 05:00:00 pm EST #Coronavirus #COVID19 #COVID_19 https://t.co/LgAVQJS1Nx,
167,Sat Nov 13 12:46:02 +0000 2021,"Cases: 252,675,453 (+11,365)
Deaths: 5,091,865 (+0)
Recovered: 0 (+0)
Active Cases: 252,675,453 (100%)
Completed Cases: 5,091,865 (2.02%)
Mortality Rate: 2.02% (No Change)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome",
730,Thu Nov 11 23:40:17 +0000 2021,10 states sue Biden administration over COVID-19 vaccine requirement for health care workers  https://t.co/GtU0FegsVh,
